type,dim,max,med,min,
S,4,0.00011849403381347656,7.18832015991211e-05,5.269050598144531e-05,
C,4,0.0020787715911865234,0.000570666790008545,0.00025081634521484375,
S,8,0.00043654441833496094,0.00039304494857788085,0.0003330707550048828,
C,8,0.0009441375732421875,0.0009133338928222657,0.000789642333984375,
S,16,0.003351449966430664,0.0026104211807250976,0.0024564266204833984,
C,16,0.005832672119140625,0.0046141624450683595,0.00391387939453125,
S,32,0.025537729263305664,0.02034912109375,0.019097089767456055,
C,32,0.02811145782470703,0.026357734203338624,0.02483344078063965,
S,64,0.16890358924865723,0.15682952404022216,0.15345406532287598,
C,64,0.20058608055114746,0.1895991563796997,0.18457674980163574,
S,128,1.293677568435669,1.24123455286026,1.2185595035552979,
C,128,1.5137178897857666,1.4530039072036742,1.4293739795684814,
S,256,10.688398599624634,9.971082079410554,9.797319412231445,
C,256,12.849678754806519,11.553371155261994,11.334089279174805,
S,512,82.71515727043152,81.739786028862,80.857980966568,
C,512,94.92829823493958,92.75070698261261,91.64544939994812,
S,1024,676.2572560310364,657.8093354940414,655.4341104030609,
C,1024,768.4136190414429,744.7568086504937,740.5204396247864,
S,2048,5463.368594169617,5459.286055636406,5452.585091114044,
C,2048,6160.394829034805,6150.922522974014,6146.099232196808,
